city_id,city,cloudiness,country,date,humidity,lat,lng,maxtemp,windspeed
2618795,Klaksvik,100,FO,1579897101,86,62.23,-6.59,4,5.1
2063056,Port Augusta,0,AU,1579897101,72,-32.5,137.77,18,2.6
2126710,Beringovskiy,100,RU,1579897101,97,63.05,179.32,-16.42,4.22
2396518,Port-Gentil,40,GA,1579896888,88,-0.72,8.78,28,1.5
3883457,Lebu,0,CL,1579896875,37,-37.62,-73.65,20.08,5.65
650225,Kuopio,99,FI,1579897102,92,62.88,27.67,-3,5.7
2354265,Toma,67,BF,1579897102,8,12.77,-2.88,25.72,5.79
5563839,Fortuna,1,US,1579897102,67,40.6,-124.16,16.11,1.5
1524606,Derzhavinsk,98,KZ,1579897102,95,51.1,66.32,-11.08,5.76
1504317,Olkhovka,0,RU,1579897102,89,53.21,60.61,-15.94,5.56
3533462,Acapulco de Juarez,20,MX,1579896842,66,16.86,-99.89,30,2.6
1279945,Jiuquan,53,CN,1579897102,27,39.74,98.52,-8.85,3.03
3448903,Sao Joao da Barra,90,BR,1579896912,94,-21.64,-41.05,26,6.24
665691,Suseni,0,RO,1579897103,43,46.67,25.55,-4.3,1.54
3422683,Kangaatsiaq,100,GL,1579897103,72,68.31,-53.46,-7.09,6.38
1106677,Bambous Virieux,75,MU,1579897103,94,-20.34,57.76,27,5.7
5421250,Englewood,1,US,1579897103,27,39.65,-104.99,15,2.6
4035715,Avarua,90,CK,1579897104,88,-21.21,-159.78,28,3.6
5557293,Sitka,90,US,1579896854,85,57.05,-135.33,1,3.6
2643044,Margate,75,GB,1579896949,93,51.38,1.39,6.67,2.1
3359638,Walvis Bay,0,NA,1579897104,88,-22.96,14.51,19.44,3.1
3453150,Ponta Pora,75,BR,1579897104,61,-22.54,-55.73,28,2.1
3629614,Punta Cardon,4,VE,1579897104,70,11.66,-70.22,26.77,8.23
3131538,Vinstra,1,NO,1579897104,80,61.6,9.75,-5.95,3.68
1066310,Betioky,0,MG,1579897105,70,-23.72,44.38,21.74,3.55
6111862,Port Hardy,75,CA,1579897105,100,50.7,-127.42,8,1
2077895,Alice Springs,11,AU,1579896980,28,-23.7,133.88,23,2.6
2027296,Aykhal,100,RU,1579897105,67,66,111.5,-33,3
3520994,Puerto Escondido,20,MX,1579897106,74,15.85,-97.07,27,4.1
2186111,Ngunguru,0,NZ,1579897106,87,-35.62,174.5,19.44,0.89
2132606,Samarai,100,PG,1579897106,87,-10.62,150.67,25.32,1.12
2155858,Nambucca Heads,90,AU,1579897106,88,-30.65,153,23,4.1
3691582,Talara,47,PE,1579897106,100,-4.58,-81.27,17,6.7
935214,Saint-Pierre,100,RE,1579896914,100,-21.34,55.48,26,9.3
1006984,East London,93,ZA,1579896808,80,-33.02,27.91,24.21,4.47
3372707,Ribeira Grande,75,PT,1579897107,72,38.52,-28.7,15,2.1
3690654,Yurimaguas,40,PE,1579897107,100,-5.9,-76.08,9,2.6
2018735,Nyurba,99,RU,1579897107,95,63.28,118.33,-34.31,3
1502822,Kolyvan,90,RU,1579897107,86,55.31,82.74,-1,5
5469841,Grants,1,US,1579897107,39,35.15,-107.85,9,2.6
964712,Plettenberg Bay,0,ZA,1579897107,80,-34.05,23.37,20.4,1.34
2180815,Tuatapere,100,NZ,1579897108,96,-46.13,167.68,15,3.13
1268008,Kanniyakumari,0,IN,1579897108,76,8.08,77.57,26.04,10.83
5969025,Haines Junction,100,CA,1579897108,98,60.75,-137.51,-20.72,2.9
909488,Lukulu,100,ZM,1579897108,86,-14.37,23.24,21.49,3.72
2194098,Ahipara,0,NZ,1579897108,100,-35.17,173.17,21.67,2.65
